Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Jaylen Adams,PG,23,POR,3,0,7.0,1.0,3.0,.333,0.0,1.3,.000,1.0,1.7,.600,.333,0.0,0.0,,0.3,0.7,1.0,0.7,0.3,0.0,0.0,0.3,2.0,2020
Steven Adams,C,26,OKC,7,7,30.0,4.4,7.4,.596,0.0,0.1,.000,4.4,7.3,.608,.596,1.3,2.9,.450,4.9,6.7,11.6,1.3,0.6,0.3,2.3,1.4,10.1,2020
Bam Adebayo,PF,22,MIA,19,19,36.2,6.5,11.6,.564,0.0,0.1,.000,6.5,11.5,.566,.564,4.7,6.1,.783,2.5,7.8,10.3,4.4,1.0,0.8,2.5,3.1,17.8,2020
Jarrett Allen,C,21,BRK,4,4,33.0,3.5,6.0,.583,0.0,0.0,,3.5,6.0,.583,.583,3.3,4.0,.813,4.3,10.5,14.8,2.3,0.5,1.8,2.8,1.8,10.3,2020
Justin Anderson,SG,26,BRK,3,0,9.3,1.7,4.0,.417,1.7,3.7,.455,0.0,0.3,.000,.625,1.3,1.3,1.000,0.0,2.7,2.7,1.0,0.0,0.3,0.7,0.7,6.3,2020
Giannis Antetokounmpo,PF,25,MIL,9,9,30.8,10.0,17.9,.559,1.4,4.4,.325,8.6,13.4,.636,.599,5.2,9.0,.580,3.0,10.8,13.8,5.7,0.7,0.9,3.3,3.4,26.7,2020
Carmelo Anthony,PF,35,POR,5,5,35.2,5.6,13.6,.412,1.6,3.8,.421,4.0,9.8,.408,.471,2.4,2.8,.857,0.2,4.8,5.0,2.0,1.0,0.4,2.6,4.0,15.2,2020
OG Anunoby,SF,22,TOR,11,11,35.7,3.6,8.0,.455,1.5,3.7,.415,2.1,4.3,.489,.551,1.6,2.5,.643,2.4,4.5,6.9,1.2,1.0,1.2,1.5,2.5,10.5,2020
D.J. Augustin,PG,32,ORL,5,0,25.6,3.6,9.2,.391,1.6,3.4,.471,2.0,5.8,.345,.478,4.4,4.6,.957,0.0,2.0,2.0,6.0,0.2,0.0,2.4,1.2,13.2,2020
J.J. Barea,PG,35,DAL,1,0,5.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,3.0,3.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2020
Keita Bates-Diop,SF,24,DEN,5,0,4.8,0.2,1.0,.200,0.0,0.0,,0.2,1.0,.200,.200,0.2,0.4,.500,0.6,0.6,1.2,0.2,0.0,0.0,0.0,0.0,0.6,2020
Darius Bazley,PF,19,OKC,7,0,18.0,1.9,4.4,.419,1.6,3.1,.500,0.3,1.3,.222,.597,1.3,1.4,.900,0.3,6.4,6.7,0.9,0.0,0.4,0.9,0.3,6.6,2020
Patrick Beverley,PG,31,LAC,8,8,20.8,2.5,4.9,.513,1.0,2.8,.364,1.5,2.1,.706,.615,0.3,0.5,.500,1.1,3.0,4.1,2.4,1.0,0.4,0.9,3.9,6.3,2020
Khem Birch,C,27,ORL,5,0,17.8,1.4,2.8,.500,0.0,0.0,,1.4,2.8,.500,.500,2.0,2.2,.909,1.8,3.2,5.0,1.4,0.2,0.0,1.0,2.2,4.8,2020
Eric Bledsoe,PG,30,MIL,9,9,29.7,4.2,10.9,.388,0.9,3.6,.250,3.3,7.3,.455,.429,2.3,2.9,.808,0.6,4.0,4.6,5.9,1.2,0.7,2.6,2.2,11.7,2020
Bol Bol,PF,20,DEN,4,0,5.3,1.3,2.3,.556,0.5,0.8,.667,0.8,1.5,.500,.667,1.8,2.0,.875,0.8,0.5,1.3,0.0,0.5,0.5,0.5,0.3,4.8,2020
Chris Boucher,C,27,TOR,7,0,6.1,0.4,1.6,.273,0.3,0.7,.400,0.1,0.9,.167,.364,0.0,0.1,.000,0.4,1.3,1.7,0.1,0.0,0.3,0.1,0.7,1.1,2020
Tony Bradley,C,22,UTA,6,0,8.0,0.3,1.5,.222,0.0,0.0,,0.3,1.5,.222,.222,0.8,1.2,.714,1.7,2.2,3.8,0.2,0.3,0.3,0.7,0.7,1.5,2020
Jarrell Brantley,PF,23,UTA,2,0,6.5,0.0,2.5,.000,0.0,1.5,.000,0.0,1.0,.000,.000,0.5,1.0,.500,1.5,0.5,2.0,1.0,0.0,0.5,0.5,2.0,0.5,2020
Malcolm Brogdon,PG,27,IND,4,4,40.0,6.5,16.3,.400,2.3,6.0,.375,4.3,10.3,.415,.469,6.3,7.0,.893,0.0,4.3,4.3,10.0,1.0,0.0,2.5,2.5,21.5,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Jaylen Brown,SG,23,BOS,17,17,39.5,8.1,16.9,.476,2.5,7.1,.358,5.5,9.9,.560,.550,3.1,3.7,.841,1.4,6.1,7.5,2.3,1.5,0.5,2.4,2.8,21.8,2020
Sterling Brown,SF,24,MIL,1,0,4.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Trey Burke,PG,27,DAL,6,3,26.0,5.0,9.8,.508,1.3,2.8,.471,3.7,7.0,.524,.576,1.0,1.7,.600,0.3,2.8,3.2,2.0,1.3,0.3,1.0,2.3,12.3,2020
Alec Burks,SG,28,PHI,4,0,23.8,4.0,12.3,.327,0.8,4.0,.188,3.3,8.3,.394,.357,1.8,2.3,.778,1.8,2.0,3.8,1.8,0.3,0.8,0.8,1.8,10.5,2020
Deonte Burton,SF,26,OKC,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Jimmy Butler,SF,30,MIA,21,21,38.4,6.9,14.0,.488,0.7,2.0,.349,6.1,12.0,.512,.514,7.8,9.1,.859,2.2,4.3,6.5,6.0,2.0,0.7,2.8,1.8,22.2,2020
Bruno Caboclo,C,24,HOU,2,0,3.5,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.0,0.0,,0.0,1.5,1.5,0.0,0.5,0.0,0.0,1.0,1.0,2020
Kentavious Caldwell-Pope,SG,26,LAL,21,21,29.0,3.8,9.0,.418,2.1,5.7,.378,1.6,3.3,.486,.537,1.0,1.3,.815,0.4,1.7,2.1,1.3,1.0,0.2,0.7,1.9,10.7,2020
DeMarre Carroll,C,33,HOU,2,0,3.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.0,1.5,1.5,0.5,0.0,0.0,0.0,0.5,1.0,2020
Alex Caruso,PG,25,LAL,21,1,24.3,2.3,5.4,.425,0.8,2.9,.279,1.5,2.5,.596,.500,1.1,1.4,.800,0.7,1.6,2.3,2.8,1.1,0.6,1.5,2.6,6.5,2020
Tyson Chandler,C,37,HOU,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,2.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Chris Chiozza,PG,24,BRK,4,0,16.3,2.0,6.0,.333,1.3,4.0,.313,0.8,2.0,.375,.438,0.5,1.0,.500,0.3,1.3,1.5,4.3,1.3,0.0,0.8,1.8,5.8,2020
Gary Clark,SF,25,ORL,5,5,28.8,2.2,6.6,.333,2.2,6.4,.344,0.0,0.2,.000,.500,0.8,1.0,.800,0.8,4.8,5.6,1.4,1.0,0.4,0.4,1.4,7.4,2020
Jordan Clarkson,SG,27,UTA,7,0,28.6,6.4,13.9,.464,2.4,7.0,.347,4.0,6.9,.583,.552,1.4,1.4,1.000,0.3,3.1,3.4,2.1,0.9,0.0,1.0,2.1,16.7,2020
Chris Clemons,SG,22,HOU,2,0,4.0,1.0,2.5,.400,1.0,2.5,.400,0.0,0.0,,.600,0.5,1.0,.500,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,2020
Antonius Cleveland,SG,25,DAL,2,0,4.5,1.0,2.5,.400,0.0,0.0,,1.0,2.5,.400,.400,0.0,0.0,,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.5,2.0,2020
Amir Coffey,SG,22,LAC,3,0,2.3,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,.000,0.7,0.7,1.000,0.0,0.0,0.0,1.3,0.3,0.0,0.0,0.0,0.7,2020
Mike Conley,PG,32,UTA,5,5,33.0,6.2,12.8,.484,3.6,6.8,.529,2.6,6.0,.433,.625,3.8,4.4,.864,0.6,2.2,2.8,5.2,1.6,0.2,1.0,2.0,19.8,2020
Pat Connaughton,SG,27,MIL,10,0,17.1,1.5,3.5,.429,0.8,2.3,.348,0.7,1.2,.583,.543,0.2,0.2,1.000,0.5,3.4,3.9,1.1,0.2,0.2,0.5,1.2,4.0,2020
Quinn Cook,PG,26,LAL,6,0,4.0,0.8,1.7,.500,0.3,0.7,.500,0.5,1.0,.500,.600,0.2,0.2,1.000,0.0,0.2,0.2,0.8,0.0,0.0,0.2,0.2,2.2,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Tyler Cook,SF,22,DEN,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Robert Covington,C,29,HOU,12,12,31.6,3.9,7.9,.495,2.8,5.7,.500,1.1,2.3,.481,.674,0.5,0.6,.857,0.7,4.3,5.0,1.3,2.5,1.1,1.0,3.8,11.2,2020
Torrey Craig,SF,29,DEN,19,3,19.7,1.7,4.1,.423,0.6,2.2,.262,1.2,1.9,.611,.494,0.5,0.7,.692,0.7,2.6,3.3,0.7,0.4,0.4,0.5,2.3,4.5,2020
